,negative,neutral,positive
aa,0.0,0.0,5.0
aaa,0.0,5.678873587267573,2.095903274289385
ab,0.0,10.0,0.0
abelton,20.0,0.0,0.0
abhorr,0.0,0.0,2.5
abil,0.0,0.0,2.5
abit,0.0,10.318851158516171,1.4306765580733931
abl,2.925901857135486,1.2105441259442007,2.482443361424548
ableton,0.0,0.0,2.5
about,1.2474546526209354,1.997593496840355,3.5873976034096917
abov,0.0,2.8394367936337863,3.9173823267621817
abras,0.0,0.0,10.0
abroad,0.0,0.0,5.0
abslut,0.0,0.0,2.5
absolut,2.0486906613251517,1.0,4.160908051228439
absolutley,0.0,0.0,2.5
absorb,16.09064652879228,0.0,1.142777130968
absurd,0.0,0.0,5.0
abus,1.1623338645535959,2.6094892646758554,2.869813941784957
ac,3.054750901711627,1.5913711273047662,1.8815421796317378
acc,0.0,10.0,0.0
accent,0.0,0.0,2.5
accentu,0.0,0.0,10.0
accept,1.530895350152348,0.0,9.162168319362612
acces,0.0,0.0,5.0
access,0.0,2.095903274289385,5.678873587267573
accessari,0.0,0.0,2.5
accessor,0.0,0.0,2.5
accessori,0.0,4.1145820804822515,2.717562737549928
accid,0.0,0.0,2.5
accident,0.0,3.054750901711627,3.6204807592266683
accomad,0.0,10.0,0.0
accomid,0.0,10.0,0.0
accommod,0.0,0.0,27.5
accomod,0.0,0.0,10.0
accompani,0.0,0.0,12.5
accomplish,0.0,0.0,15.0
accord,25.88701711667276,0.0,0.9345463662610467
account,0.0,0.0,12.5
accoust,0.0,0.0,7.5
accur,3.6204807592266683,1.0759410770890674,2.2109333391015227
accustom,0.0,0.0,12.5
acet,0.0,0.0,2.5
acheiv,0.0,0.0,2.5
achiev,0.0,1.4306765580733931,10.318851158516171
acoust,1.5667947759133125,1.2921427783204207,4.532429216027164
acoustason,0.0,0.0,5.0
acquir,0.0,0.0,15.0
across,0.0,0.0,2.5
act,0.0,2.095903274289385,5.678873587267573
actaulli,0.0,0.0,2.5
activ,1.3274436135281011,3.054750901711627,2.2109333391015227
actual,1.5076375320607909,1.7541856784231713,3.457354745270806
actuat,0.0,0.0,7.5
acur,0.0,0.0,2.5
acut,0.0,0.0,2.5
ad,0.0,1.0414140444306217,19.83752925565621
adapt,0.0,0.0,15.0
adaptor,0.0,0.0,2.5
adatp,0.0,0.0,2.5
add,0.9345463662610467,1.7916186108240506,5.128820502077845
addario,0.0,1.25647079736603,13.206425930125748
addict,0.0,0.0,7.5
addit,0.0,1.8041188445325964,7.036962827935077
address,0.0,5.678873587267573,2.095903274289385
addtion,0.0,0.0,2.5
adept,0.0,0.0,2.5
adequ,0.0,4.271985235273362,2.6301168673979136
adhes,0.0,0.0,10.0
adjoin,0.0,0.0,2.5
adjust,0.9266284080291269,1.8687634631850907,4.899079389427794
admir,0.0,0.0,10.0
admit,0.0,1.2301433994512887,13.783470770180712
ador,0.0,0.0,2.5
advanc,8.003922779651097,0.0,1.6609640474436815
advers,10.0,0.0,0.0
advertis,0.0,2.4097933153777453,4.742632390555292
advis,0.0,2.8394367936337863,3.9173823267621817
ae,0.0,0.0,2.5
aesom,0.0,0.0,2.5
aesthet,9.162168319362612,0.0,1.530895350152348
affect,2.5642927228407246,0.8846944397064771,3.5058721616899073
afford,1.043574176886883,1.6941443708873591,5.035819603465131
afraid,19.549378059091087,0.0,1.0479516371446924
again,1.7203173953802635,1.464135320776616,3.6296105574281143
age,0.0,10.318851158516171,1.4306765580733931
aggrav,0.0,0.0,2.5
aggres,0.0,0.0,2.5
aggress,0.0,0.0,25.0
ago,4.4933993252346385,0.8994016042597518,2.0412514765374774
agre,0.0,1.8929578624225243,6.552643539533589
agreeabl,0.0,10.318851158516171,1.4306765580733931
aguilar,0.0,0.0,2.5
ah,0.0,0.0,2.5
ahead,0.0,0.0,50.0
aheil,0.0,0.0,2.5
aim,0.0,0.0,10.0
air,3.321928094887363,0.0,3.321928094887363
airborn,0.0,10.318851158516171,1.4306765580733931
airi,0.0,0.0,7.5
airtight,0.0,0.0,2.5
aka,0.0,0.0,2.5
akg,0.0,0.0,7.5
akin,0.0,0.0,5.0
al,0.0,0.0,2.5
ala,0.0,0.0,2.5
alan,0.0,0.0,2.5
albert,0.0,10.0,0.0
album,0.0,0.0,5.0
alert,0.0,0.0,2.5
alien,0.0,0.0,7.5
align,15.513980687166514,0.0,1.1623338645535959
alik,0.0,0.0,7.5
alittl,0.0,0.0,2.5
aliv,8.003922779651097,1.1832946624549385,1.030888749890255
alkalin,0.0,0.0,2.5
all,0.0,0.0,10.0
allen,0.0,0.0,2.5
allevi,0.0,0.0,2.5
allmost,0.0,0.0,2.5
allow,1.061562050124335,0.8044806038373891,12.244391223605618
alloy,0.0,0.0,2.5
almost,0.8695739460297898,1.8250557574182213,5.269937159568072
alnico,0.0,0.0,2.5
alon,1.3331155435207356,1.7420653825330148,3.9173823267621817
along,0.0,3.137168659354725,3.5211682165513474
alongsid,0.0,0.0,5.0
alot,0.0,0.0,10.0
alota,0.0,0.0,2.5
alreadi,1.2201908361860025,1.6248961310502152,4.598040575429562
alright,1.8380053935977752,4.1145820804822515,1.1832946624549385
also,1.3709607038981575,1.4494707930594064,4.647867203617164
alter,0.0,10.318851158516171,1.4306765580733931
altern,1.388581658628238,1.388581658628238,4.801322650839046
alto,0.0,0.0,10.0
altogeth,2.51294159473206,0.0,4.507575551943847
alvarez,0.0,0.0,5.0
alvin,0.0,0.0,2.5
alway,1.0927338691050186,1.1962371252442052,7.397606653977903
am,1.518370340869833,1.4959498520672787,4.045173771418339
amateur,0.0,0.0,10.0
amaz,1.158981144207004,1.158981144207004,7.18213687889349
amazon,2.0351606821375086,1.6998947737393464,2.6495797632752476
amazonha,0.0,0.0,2.5
amazontc,0.0,10.0,0.0
amazonth,0.0,0.0,2.5
america,10.318851158516171,0.0,1.4306765580733931
american,1.2704767614516976,1.2704767614516976,5.824717697033861
amnot,0.0,0.0,2.5
amount,0.0,10.0,0.0
amp,0.9266284080291269,2.437986966796919,3.6029687045003636
ampactu,0.0,0.0,2.5
ampeg,0.0,0.0,7.5
ampl,0.0,0.0,15.0
ampli,0.0,0.0,2.5
amplifi,0.0,0.0,55.0
amus,0.0,0.0,2.5
anadi,0.0,0.0,5.0
analog,0.0,14.937236057436325,1.1832946624549385
ancient,0.0,0.0,2.5
andrew,0.0,0.0,2.5
angel,0.0,0.0,2.5
angl,2.978033117136071,1.5702972679322118,1.9535700439406751
angri,45.0,0.0,0.0
anim,0.0,0.0,2.5
anniversari,19.549378059091087,0.0,1.0479516371446924
announc,0.0,0.0,7.5
annoy,1.25647079736603,2.7033508853505657,2.6062056862702123
anod,0.0,0.0,2.5
anon,0.0,0.0,5.0
anouth,0.0,0.0,2.5
answer,0.0,4.1145820804822515,2.717562737549928
antenna,0.0,0.0,2.5
anti,0.0,0.0,5.0
anticip,0.0,10.318851158516171,1.4306765580733931
anultim,0.0,0.0,2.5
anxious,0.0,0.0,2.5
anyam,0.0,0.0,2.5
anyhoo,0.0,0.0,2.5
anyhow,0.0,10.318851158516171,1.4306765580733931
anymor,3.5734616593335295,1.0,2.3475901497877913
anytim,0.0,0.0,20.0
anyway,1.8842892535111286,1.8380053935977752,2.6516747008320674
anywher,1.9124892893931982,1.0,4.507575551943847
apart,2.734068189377803,1.6425934360144128,2.0379296951540886
apoge,0.0,0.0,7.5
app,0.0,0.0,7.5
appar,2.51294159473206,2.51294159473206,1.4306765580733931
appeal,0.0,0.0,20.0
appear,2.740178355251484,1.4777736715355747,2.240923032449419
applaud,0.0,0.0,2.5
appli,3.4779278926237653,0.7269218941691318,2.821078870855979
appos,0.0,0.0,2.5
apprais,0.0,10.0,0.0
appreci,0.0,1.1623338645535959,15.513980687166514
apprehens,0.0,0.0,2.5
apprent,0.0,0.0,2.5
approach,0.0,0.0,5.0
appropi,0.0,10.0,0.0
appropri,0.0,0.0,15.0
approxim,0.0,5.678873587267573,2.095903274289385
aqua,0.0,0.0,2.5
aquarian,0.0,0.0,2.5
aquila,0.0,10.318851158516171,1.4306765580733931
arch,0.0,0.0,2.5
archtop,0.0,5.678873587267573,2.095903274289385
ardsleyon,0.0,0.0,2.5
are,1.5347966723421902,1.6941042475996653,3.521728264158156
arent,0.0,0.0,2.5
argu,0.0,2.2761793375349226,5.094382474196232
arid,0.0,0.0,2.5
aris,0.0,0.0,10.0
arizona,0.0,0.0,2.5
arm,0.0,0.0,2.5
aroland,0.0,0.0,2.5
around,1.043574176886883,2.538239714274143,3.1933514082391965
arrang,0.0,0.0,7.5
arriv,1.1244777752946047,2.0351606821375086,3.8326985321067166
arrog,0.0,0.0,2.5
arsenal,0.0,0.0,2.5
art,0.0,0.0,5.0
arthriti,0.0,0.0,2.5
articul,0.0,0.0,12.5
artifici,14.01425642979706,1.0911623018071637,0.6585385709929116
as,2.3348601938793947,1.325403300149344,2.8916488355949084
asa,0.0,0.0,2.5
asadvertis,0.0,0.0,2.5
asap,20.0,0.0,0.0
ascrib,0.0,0.0,2.5
aseven,0.0,0.0,2.5
ash,0.0,0.0,5.0
asham,0.0,0.0,5.0
ashi,0.0,0.0,2.5
asian,105.0,0.0,0.0
asid,1.4777736715355747,1.4777736715355747,4.212993519393615
asio,0.0,0.0,2.5
asioal,0.0,0.0,2.5
ask,1.4488636330109086,1.4488636330109086,4.389852586341185
asmartin,0.0,10.0,0.0
aspect,0.0,0.0,2.5
asquier,0.0,0.0,2.5
assembl,1.3331155435207356,2.2267126053229522,3.0212099296053805
assist,0.0,0.0,5.0
associ,0.0,4.1145820804822515,2.717562737549928
assort,20.0,0.0,0.0
assum,1.7879236136423848,1.7879236136423848,2.869813941784957
assur,0.0,0.0,15.0
astat,0.0,0.0,2.5
asthet,0.0,0.0,2.5
astound,0.0,0.0,5.0
astut,0.0,0.0,2.5
aswel,0.0,10.0,0.0
asymmetr,0.0,0.0,2.5
ata,0.0,10.0,0.0
ateri,0.0,10.0,0.0
atlant,0.0,0.0,2.5
atop,0.0,0.0,2.5
attach,2.0000634512963034,1.453541992508055,3.1250211452606442
attack,0.0,0.0,15.0
attactch,0.0,0.0,2.5
attain,0.0,0.0,2.5
attempt,0.0,0.0,2.5
attend,0.0,10.318851158516171,1.4306765580733931
attent,0.0,0.0,2.5
attenu,0.0,0.0,2.5
attest,0.0,3.321928094887363,3.321928094887363
attract,3.441575920909497,1.409058247020729,1.874053799587728
attribut,0.0,0.0,5.0
audibl,1.25647079736603,3.137168659354725,2.2537877759719245
audio,0.0,0.7505037043612045,48.34514832874071
auditori,0.0,0.0,2.5
augment,0.0,0.0,2.5
auphonix,0.0,10.0,0.0
aura,0.0,0.0,2.5
