,negative,neutral,positive,total
aa,0.0,0.0,2.0,2.0
aaa,0.0,4.0,2.0,6.0
ab,0.0,4.0,0.0,4.0
abelton,8.0,0.0,0.0,8.0
abhorr,0.0,0.0,1.0,1.0
abil,0.0,0.0,1.0,1.0
abit,0.0,4.0,1.0,5.0
abl,122.0,40.0,106.0,268.0
ableton,0.0,0.0,1.0,1.0
about,12.0,24.0,40.0,76.0
abov,0.0,4.0,5.0,9.0
abras,0.0,0.0,4.0,4.0
abroad,0.0,0.0,2.0,2.0
abslut,0.0,0.0,1.0,1.0
absolut,26.0,8.0,46.0,80.0
absolutley,0.0,0.0,1.0,1.0
absorb,26.0,0.0,4.0,30.0
absurd,0.0,0.0,2.0,2.0
abus,4.0,12.0,13.0,29.0
ac,16.0,8.0,10.0,34.0
acc,0.0,4.0,0.0,4.0
accent,0.0,0.0,1.0,1.0
accentu,0.0,0.0,4.0,4.0
accept,4.0,0.0,14.0,18.0
acces,0.0,0.0,2.0,2.0
access,0.0,4.0,8.0,12.0
accessari,0.0,0.0,1.0,1.0
accessor,0.0,0.0,1.0,1.0
accessori,0.0,4.0,3.0,7.0
accid,0.0,0.0,1.0,1.0
accident,0.0,8.0,9.0,17.0
accomad,0.0,4.0,0.0,4.0
accomid,0.0,4.0,0.0,4.0
accommod,0.0,0.0,11.0,11.0
accomod,0.0,0.0,4.0,4.0
accompani,0.0,0.0,5.0,5.0
accomplish,0.0,0.0,6.0,6.0
accord,86.0,0.0,8.0,94.0
account,0.0,0.0,5.0,5.0
accoust,0.0,0.0,3.0,3.0
accur,36.0,8.0,24.0,68.0
accustom,0.0,0.0,5.0,5.0
acet,0.0,0.0,1.0,1.0
acheiv,0.0,0.0,1.0,1.0
achiev,0.0,4.0,16.0,20.0
acoust,164.0,120.0,429.0,713.0
acoustason,0.0,0.0,2.0,2.0
acquir,0.0,0.0,6.0,6.0
across,0.0,0.0,1.0,1.0
act,0.0,4.0,8.0,12.0
actaulli,0.0,0.0,1.0,1.0
activ,12.0,32.0,24.0,68.0
actual,71.0,88.0,168.0,327.0
actuat,0.0,0.0,3.0,3.0
acur,0.0,0.0,1.0,1.0
acut,0.0,0.0,1.0,1.0
ad,0.0,8.0,65.0,73.0
adapt,0.0,0.0,6.0,6.0
adaptor,0.0,0.0,1.0,1.0
adatp,0.0,0.0,1.0,1.0
add,16.0,52.0,120.0,188.0
addario,0.0,4.0,21.0,25.0
addict,0.0,0.0,3.0,3.0
addit,0.0,12.0,31.0,43.0
address,0.0,4.0,2.0,6.0
addtion,0.0,0.0,1.0,1.0
adept,0.0,0.0,1.0,1.0
adequ,0.0,28.0,20.0,48.0
adhes,0.0,0.0,4.0,4.0
adjoin,0.0,0.0,1.0,1.0
adjust,24.0,84.0,180.0,288.0
admir,0.0,0.0,4.0,4.0
admit,0.0,4.0,22.0,26.0
ador,0.0,0.0,1.0,1.0
advanc,18.0,0.0,6.0,24.0
advers,4.0,0.0,0.0,4.0
advertis,0.0,20.0,32.0,52.0
advis,0.0,4.0,5.0,9.0
ae,0.0,0.0,1.0,1.0
aesom,0.0,0.0,1.0,1.0
aesthet,21.0,0.0,6.0,27.0
affect,22.0,4.0,28.0,54.0
afford,12.0,28.0,69.0,109.0
afraid,8.0,0.0,1.0,9.0
again,91.0,72.0,184.0,347.0
age,0.0,4.0,1.0,5.0
aggrav,0.0,0.0,1.0,1.0
aggres,0.0,0.0,1.0,1.0
aggress,0.0,0.0,10.0,10.0
ago,124.0,16.0,67.0,207.0
agre,0.0,8.0,19.0,27.0
agreeabl,0.0,4.0,1.0,5.0
aguilar,0.0,0.0,1.0,1.0
ah,0.0,0.0,1.0,1.0
ahead,0.0,0.0,20.0,20.0
aheil,0.0,0.0,1.0,1.0
aim,0.0,0.0,4.0,4.0
air,4.0,0.0,4.0,8.0
airborn,0.0,4.0,1.0,5.0
airi,0.0,0.0,3.0,3.0
airtight,0.0,0.0,1.0,1.0
aka,0.0,0.0,1.0,1.0
akg,0.0,0.0,3.0,3.0
akin,0.0,0.0,2.0,2.0
al,0.0,0.0,1.0,1.0
ala,0.0,0.0,1.0,1.0
alan,0.0,0.0,1.0,1.0
albert,0.0,4.0,0.0,4.0
album,0.0,0.0,2.0,2.0
alert,0.0,0.0,1.0,1.0
alien,0.0,0.0,3.0,3.0
align,25.0,0.0,4.0,29.0
alik,0.0,0.0,3.0,3.0
alittl,0.0,0.0,1.0,1.0
aliv,21.0,4.0,3.0,28.0
alkalin,0.0,0.0,1.0,1.0
all,0.0,0.0,4.0,4.0
allen,0.0,0.0,1.0,1.0
allevi,0.0,0.0,1.0,1.0
allmost,0.0,0.0,1.0,1.0
allow,16.0,8.0,116.0,140.0
alloy,0.0,0.0,1.0,1.0
almost,16.0,64.0,146.0,226.0
alnico,0.0,0.0,1.0,1.0
alon,8.0,12.0,25.0,45.0
along,0.0,12.0,13.0,25.0
alongsid,0.0,0.0,2.0,2.0
alot,0.0,0.0,4.0,4.0
alota,0.0,0.0,1.0,1.0
alreadi,20.0,32.0,80.0,132.0
alright,4.0,8.0,2.0,14.0
also,168.0,184.0,549.0,901.0
alter,0.0,8.0,2.0,10.0
altern,4.0,4.0,13.0,21.0
alto,0.0,0.0,4.0,4.0
altogeth,4.0,0.0,6.0,10.0
alvarez,0.0,0.0,2.0,2.0
alvin,0.0,0.0,1.0,1.0
alway,40.0,48.0,241.0,329.0
am,356.0,348.0,918.0,1622.0
amateur,0.0,0.0,4.0,4.0
amaz,24.0,24.0,127.0,175.0
amazon,30.0,24.0,39.0,93.0
amazonha,0.0,0.0,1.0,1.0
amazontc,0.0,4.0,0.0,4.0
amazonth,0.0,0.0,1.0,1.0
america,4.0,0.0,1.0,5.0
american,8.0,8.0,33.0,49.0
amnot,0.0,0.0,1.0,1.0
amount,0.0,4.0,0.0,4.0
amp,12.0,56.0,76.0,144.0
ampactu,0.0,0.0,1.0,1.0
ampeg,0.0,0.0,3.0,3.0
ampl,0.0,0.0,6.0,6.0
ampli,0.0,0.0,1.0,1.0
amplifi,0.0,0.0,22.0,22.0
amus,0.0,0.0,1.0,1.0
anadi,0.0,0.0,2.0,2.0
analog,0.0,12.0,2.0,14.0
ancient,0.0,0.0,1.0,1.0
andrew,0.0,0.0,1.0,1.0
angel,0.0,0.0,1.0,1.0
angl,24.0,12.0,16.0,52.0
angri,18.0,0.0,0.0,18.0
anim,0.0,0.0,1.0,1.0
anniversari,8.0,0.0,1.0,9.0
announc,0.0,0.0,3.0,3.0
annoy,12.0,32.0,31.0,75.0
anod,0.0,0.0,1.0,1.0
anon,0.0,0.0,2.0,2.0
anouth,0.0,0.0,1.0,1.0
answer,0.0,8.0,6.0,14.0
antenna,0.0,0.0,1.0,1.0
anti,0.0,0.0,2.0,2.0
anticip,0.0,4.0,1.0,5.0
anultim,0.0,0.0,1.0,1.0
anxious,0.0,0.0,1.0,1.0
anyam,0.0,0.0,1.0,1.0
anyhoo,0.0,0.0,1.0,1.0
anyhow,0.0,4.0,1.0,5.0
anymor,21.0,4.0,15.0,40.0
anytim,0.0,0.0,8.0,8.0
anyway,33.0,32.0,47.0,112.0
anywher,12.0,4.0,24.0,40.0
apart,28.0,16.0,21.0,65.0
apoge,0.0,0.0,3.0,3.0
app,0.0,0.0,3.0,3.0
appar,16.0,16.0,8.0,40.0
appeal,0.0,0.0,8.0,8.0
appear,41.0,20.0,34.0,95.0
applaud,0.0,0.0,1.0,1.0
appli,49.0,4.0,42.0,95.0
appos,0.0,0.0,1.0,1.0
apprais,0.0,4.0,0.0,4.0
appreci,0.0,4.0,25.0,29.0
apprehens,0.0,0.0,1.0,1.0
apprent,0.0,0.0,1.0,1.0
approach,0.0,0.0,2.0,2.0
appropi,0.0,4.0,0.0,4.0
appropri,0.0,0.0,6.0,6.0
approxim,0.0,8.0,4.0,12.0
aqua,0.0,0.0,1.0,1.0
aquarian,0.0,0.0,1.0,1.0
aquila,0.0,4.0,1.0,5.0
arch,0.0,0.0,1.0,1.0
archtop,0.0,4.0,2.0,6.0
ardsleyon,0.0,0.0,1.0,1.0
are,990.0,1140.0,2308.0,4438.0
arent,0.0,0.0,1.0,1.0
argu,0.0,4.0,7.0,11.0
arid,0.0,0.0,1.0,1.0
aris,0.0,0.0,4.0,4.0
arizona,0.0,0.0,1.0,1.0
arm,0.0,0.0,1.0,1.0
aroland,0.0,0.0,1.0,1.0
around,12.0,44.0,53.0,109.0
arrang,0.0,0.0,3.0,3.0
arriv,16.0,40.0,68.0,124.0
arrog,0.0,0.0,1.0,1.0
arsenal,0.0,0.0,1.0,1.0
art,0.0,0.0,2.0,2.0
arthriti,0.0,0.0,1.0,1.0
articul,0.0,0.0,5.0,5.0
artifici,28.0,4.0,1.0,33.0
as,373.0,176.0,451.0,1000.0
asa,0.0,0.0,1.0,1.0
asadvertis,0.0,0.0,1.0,1.0
