,negative,positive
aa,3.9173823267621817,2.8394367936337863
aaa,5.678873587267573,2.095903274289385
aaaaagh,0.0,2.5
aaaaah,2.5,0.0
aaaaaw,2.5,0.0
aaaarrgh,2.5,0.0
aaagh,0.0,2.5
aaall,2.5,0.0
aaam,2.5,0.0
aaargh,5.678873587267573,2.095903274289385
aachen,0.0,2.5
aag,10.318851158516171,1.4306765580733931
aah,1.6609640474436815,8.003922779651097
aahhhh,2.5,0.0
aaja,2.5,0.0
aak,2.5,0.0
aakash,2.5,0.0
aaliyah,2.3475901497877913,4.899079389427794
aamir,0.9602525677891276,24.15885792809679
aamr,0.0,2.5
aap,2.5,0.0
aardman,1.6609640474436815,8.003922779651097
aargh,5.0,0.0
aaron,2.05950137443437,5.816141328518998
aarp,0.0,2.5
aarrrgh,0.0,2.5
aashok,0.0,2.5
aasmaan,0.0,2.5
aatish,0.0,10.0
ab,2.162639121587463,5.445306345465875
aback,2.095903274289385,5.678873587267573
abagail,2.5,0.0
abanaz,2.5,0.0
abandon,3.4847753051115102,3.1688850272959153
abas,2.5,0.0
abash,5.0,0.0
abat,0.0,2.5
abb,2.5,0.0
abba,4.1145820804822515,2.717562737549928
abbey,2.095903274289385,5.678873587267573
abbi,3.851526570091436,2.8836103946155047
abbot,0.9602525677891276,24.15885792809679
abbott,2.095903274289385,5.678873587267573
abbrevi,4.0019613898255475,2.785345075685467
abbu,2.5,0.0
abbyss,0.0,2.5
abc,2.6495797632752476,4.2356873915964925
abd,0.0,2.5
abdic,10.318851158516171,1.4306765580733931
abdomin,3.321928094887363,3.321928094887363
abdu,2.5,0.0
abduct,6.0675838318038835,1.997593496840355
abdul,3.321928094887363,3.321928094887363
abdullah,5.0,0.0
abe,2.4097933153777453,4.742632390555292
abecassi,2.5,0.0
abed,0.0,2.5
abel,0.0,15.0
abemethi,0.0,2.5
abercrombi,3.321928094887363,3.321928094887363
aberdeen,0.0,7.5
abernathi,3.321928094887363,3.321928094887363
abernethi,0.0,5.0
