,negative,positive,total
aa,5.0,4.0,9.0
aaa,4.0,2.0,6.0
aaaaagh,0.0,1.0,1.0
aaaaah,1.0,0.0,1.0
aaaaaw,1.0,0.0,1.0
aaaarrgh,1.0,0.0,1.0
aaagh,0.0,1.0,1.0
aaall,1.0,0.0,1.0
aaam,1.0,0.0,1.0
aaargh,2.0,1.0,3.0
aachen,0.0,1.0,1.0
aag,4.0,1.0,5.0
aah,1.0,3.0,4.0
aahhhh,1.0,0.0,1.0
aaja,1.0,0.0,1.0
aak,1.0,0.0,1.0
aakash,1.0,0.0,1.0
aaliyah,3.0,5.0,8.0
aamir,2.0,20.0,22.0
aamr,0.0,1.0,1.0
aap,1.0,0.0,1.0
aardman,5.0,15.0,20.0
aargh,2.0,0.0,2.0
aaron,17.0,35.0,52.0
aarp,0.0,1.0,1.0
aarrrgh,0.0,1.0,1.0
aashok,0.0,1.0,1.0
aasmaan,0.0,1.0,1.0
aatish,0.0,4.0,4.0
ab,10.0,19.0,29.0
aback,3.0,6.0,9.0
abagail,1.0,0.0,1.0
abanaz,1.0,0.0,1.0
abandon,251.0,235.0,486.0
abas,1.0,0.0,1.0
abash,2.0,0.0,2.0
abat,0.0,1.0,1.0
abb,1.0,0.0,1.0
abba,8.0,6.0,14.0
abbey,3.0,6.0,9.0
abbi,11.0,9.0,20.0
abbot,1.0,10.0,11.0
abbott,5.0,10.0,15.0
abbrevi,9.0,7.0,16.0
abbu,1.0,0.0,1.0
abbyss,0.0,1.0,1.0
abc,39.0,54.0,93.0
abd,0.0,1.0,1.0
abdic,4.0,1.0,5.0
abdomin,1.0,1.0,2.0
abdu,1.0,0.0,1.0
abduct,52.0,24.0,76.0
abdul,2.0,2.0,4.0
abdullah,2.0,0.0,2.0
abe,5.0,8.0,13.0
abecassi,1.0,0.0,1.0
abed,0.0,1.0,1.0
abel,0.0,6.0,6.0
abemethi,0.0,1.0,1.0
abercrombi,1.0,1.0,2.0
aberdeen,0.0,3.0,3.0
abernathi,1.0,1.0,2.0
abernethi,0.0,2.0,2.0
aberr,1.0,4.0,5.0
aberystwyth,0.0,1.0,1.0
abet,6.0,21.0,27.0
abhay,0.0,11.0,11.0
abhi,0.0,1.0,1.0
abhishek,1.0,0.0,1.0
abhor,4.0,5.0,9.0
abhorr,15.0,3.0,18.0
abid,15.0,20.0,35.0
abigail,7.0,8.0,15.0
abigil,0.0,1.0,1.0
abil,1.0,0.0,1.0
abilen,3.0,0.0,3.0
abingdon,0.0,2.0,2.0
abit,3.0,1.0,4.0
abject,14.0,4.0,18.0
abkani,1.0,0.0,1.0
abl,1139.0,1458.0,2597.0
ablaz,2.0,2.0,4.0
abler,0.0,1.0,1.0
abli,15.0,44.0,59.0
abneg,0.0,1.0,1.0
abnorm,19.0,16.0,35.0
abo,2.0,4.0,6.0
aboard,16.0,8.0,24.0
abolish,2.0,7.0,9.0
abolitiong,1.0,0.0,1.0
abolitionist,0.0,2.0,2.0
abomin,40.0,15.0,55.0
aborigin,13.0,23.0,36.0
abort,26.0,18.0,44.0
abortionist,1.0,1.0,2.0
abou,7.0,1.0,8.0
abound,59.0,35.0,94.0
about,760.0,652.0,1412.0
abov,121.0,154.0,275.0
abovement,0.0,1.0,1.0
abr,2.0,3.0,5.0
abracadabrantesqu,1.0,0.0,1.0
abraham,7.0,17.0,24.0
abrahimi,0.0,1.0,1.0
abram,1.0,2.0,3.0
abras,17.0,11.0,28.0
abreast,0.0,1.0,1.0
abridg,6.0,11.0,17.0
abril,0.0,3.0,3.0
abroad,37.0,47.0,84.0
abrog,1.0,0.0,1.0
abromowitz,1.0,0.0,1.0
abrupt,139.0,109.0,248.0
abscess,1.0,0.0,1.0
abscond,3.0,5.0,8.0
abseil,1.0,0.0,1.0
absenc,0.0,1.0,1.0
absent,87.0,47.0,134.0
absentmind,1.0,1.0,2.0
abso,1.0,0.0,1.0
absol,0.0,1.0,1.0
absolom,0.0,1.0,1.0
absolout,0.0,1.0,1.0
absolu,3.0,0.0,3.0
absolut,1912.0,1487.0,3399.0
absolutelli,0.0,1.0,1.0
absolutey,1.0,0.0,1.0
absolutl,0.0,1.0,1.0
absolutley,4.0,0.0,4.0
absolv,7.0,4.0,11.0
absorb,88.0,184.0,272.0
absorpt,0.0,1.0,1.0
absoul,0.0,1.0,1.0
absoulutley,1.0,0.0,1.0
absout,0.0,1.0,1.0
absoutley,0.0,1.0,1.0
abstain,1.0,3.0,4.0
abstin,1.0,0.0,1.0
abstract,28.0,58.0,86.0
abstrus,1.0,0.0,1.0
absurd,375.0,154.0,529.0
absurdest,0.0,1.0,1.0
absurdist,5.0,18.0,23.0
abt,1.0,0.0,1.0
abu,5.0,14.0,19.0
abud,1.0,0.0,1.0
abuelita,1.0,0.0,1.0
abund,32.0,22.0,54.0
abus,182.0,210.0,392.0
abusin,1.0,0.0,1.0
abut,1.0,2.0,3.0
abuzz,0.0,2.0,2.0
abvious,1.0,0.0,1.0
abwehr,0.0,1.0,1.0
abydo,0.0,2.0,2.0
abysm,186.0,22.0,208.0
abyss,2.0,2.0,4.0
abyssm,2.0,0.0,2.0
abysym,1.0,0.0,1.0
ac,6.0,4.0,10.0
acacia,4.0,0.0,4.0
acadami,2.0,1.0,3.0
academ,40.0,24.0,64.0
academi,78.0,159.0,237.0
academian,0.0,1.0,1.0
acapulco,0.0,2.0,2.0
acc,1.0,1.0,2.0
acced,2.0,3.0,5.0
acceler,17.0,14.0,31.0
accelerati,0.0,1.0,1.0
accent,72.0,48.0,120.0
accentu,16.0,43.0,59.0
acceot,1.0,0.0,1.0
accept,599.0,759.0,1358.0
acceptabl,1.0,0.0,1.0
acces,1.0,0.0,1.0
access,19.0,89.0,108.0
accessabilti,1.0,0.0,1.0
accessor,1.0,0.0,1.0
accessori,0.0,4.0,4.0
accid,14.0,22.0,36.0
accident,238.0,234.0,472.0
accidenti,1.0,2.0,3.0
acclai,0.0,1.0,1.0
acclaim,61.0,93.0,154.0
acclim,0.0,1.0,1.0
accolad,6.0,1.0,7.0
accommod,14.0,17.0,31.0
accomod,0.0,1.0,1.0
accompagni,1.0,0.0,1.0
accompani,168.0,230.0,398.0
accompanist,0.0,1.0,1.0
accomplic,1.0,1.0,2.0
accomplish,158.0,249.0,407.0
accord,334.0,272.0,606.0
accordian,0.0,3.0,3.0
accordin,1.0,0.0,1.0
accordionist,0.0,1.0,1.0
accost,5.0,8.0,13.0
account,50.0,38.0,88.0
accowmplish,1.0,0.0,1.0
accredit,0.0,1.0,1.0
accru,2.0,3.0,5.0
accumul,10.0,20.0,30.0
accur,266.0,412.0,678.0
accuraci,1.0,1.0,2.0
accurs,2.0,0.0,2.0
accus,143.0,194.0,337.0
accusatori,1.0,1.0,2.0
accuss,0.0,1.0,1.0
accustom,18.0,41.0,59.0
accut,1.0,0.0,1.0
ace,6.0,11.0,17.0
acerb,6.0,9.0,15.0
acetylen,1.0,0.0,1.0
ach,28.0,46.0,74.0
achad,1.0,0.0,1.0
acharya,2.0,0.0,2.0
acheaolog,0.0,1.0,1.0
acheiv,0.0,1.0,1.0
achero,1.0,0.0,1.0
achiev,308.0,467.0,775.0
achil,1.0,0.0,1.0
achill,2.0,4.0,6.0
achillea,0.0,1.0,1.0
achiv,1.0,0.0,1.0
achm,0.0,1.0,1.0
acholo,1.0,0.0,1.0
achoo,0.0,1.0,1.0
achronolog,0.0,1.0,1.0
acid,24.0,30.0,54.0
acidi,0.0,1.0,1.0
acidifi,0.0,1.0,1.0
ack,1.0,1.0,2.0
ackerman,1.0,0.0,1.0
ackland,0.0,2.0,2.0
acknowledg,71.0,99.0,170.0
ackroyd,1.0,3.0,4.0
ackward,0.0,1.0,1.0
aclear,0.0,1.0,1.0
acm,0.0,7.0,7.0
acmi,1.0,0.0,1.0
acn,1.0,1.0,2.0
acolyt,3.0,3.0,6.0
acord,1.0,0.0,1.0
acorn,2.0,0.0,2.0
acosta,0.0,1.0,1.0
acoupl,1.0,0.0,1.0
acoust,6.0,11.0,17.0
acp,0.0,1.0,1.0
acquaint,19.0,32.0,51.0
acquart,0.0,1.0,1.0
acquiesc,0.0,3.0,3.0
acquir,80.0,94.0,174.0
acquisit,0.0,1.0,1.0
acquit,25.0,24.0,49.0
acquitt,3.0,1.0,4.0
acr,4.0,4.0,8.0
acrid,0.0,3.0,3.0
acrimoni,0.0,2.0,2.0
acrobat,11.0,12.0,23.0
acrobatti,0.0,6.0,6.0
acronym,1.0,1.0,2.0
across,11.0,14.0,25.0
acryl,1.0,0.0,1.0
act,6000.0,3736.0,9736.0
actal,1.0,0.0,1.0
action,4.0,4.0,8.0
actionless,2.0,0.0,2.0
actionpack,1.0,1.0,2.0
actionscen,1.0,0.0,1.0
actium,1.0,0.0,1.0
activ,107.0,124.0,231.0
activist,2.0,7.0,9.0
actor,25.0,32.0,57.0
actress,125.0,125.0,250.0
actriss,1.0,0.0,1.0
actua,2.0,1.0,3.0
actual,5843.0,4012.0,9855.0
actuali,1.0,2.0,3.0
actuari,0.0,1.0,1.0
actuelli,0.0,1.0,1.0
actulli,0.0,1.0,1.0
actullli,1.0,0.0,1.0
actur,1.0,0.0,1.0
acual,4.0,1.0,5.0
acuhu,0.0,1.0,1.0
acuna,0.0,1.0,1.0
acupat,1.0,0.0,1.0
acur,1.0,1.0,2.0
acut,10.0,15.0,25.0
ad,577.0,646.0,1223.0
ada,11.0,19.0,30.0
adabt,1.0,0.0,1.0
adagio,0.0,1.0,1.0
adah,1.0,0.0,1.0
adair,0.0,1.0,1.0
adajani,1.0,0.0,1.0
adalbert,0.0,1.0,1.0
adam,152.0,160.0,312.0
adama,5.0,3.0,8.0
adamantium,1.0,0.0,1.0
adamason,0.0,1.0,1.0
adamo,1.0,0.0,1.0
adamson,7.0,6.0,13.0
adapt,170.0,260.0,430.0
aday,0.0,5.0,5.0
add,1045.0,1147.0,2192.0
addam,1.0,1.0,2.0
addario,2.0,0.0,2.0
addi,5.0,3.0,8.0
addict,81.0,138.0,219.0
addicus,0.0,1.0,1.0
addio,1.0,0.0,1.0
addison,2.0,1.0,3.0
addit,110.0,141.0,251.0
additiona,1.0,0.0,1.0
additon,1.0,0.0,1.0
addl,14.0,6.0,20.0
address,113.0,162.0,275.0
addtion,0.0,1.0,1.0
ade,4.0,4.0,8.0
adebisi,0.0,2.0,2.0
adel,2.0,35.0,37.0
adela,1.0,1.0,2.0
adelaid,2.0,17.0,19.0
adelight,0.0,1.0,1.0
adelin,0.0,2.0,2.0
adell,0.0,2.0,2.0
adelphia,0.0,1.0,1.0
ademir,0.0,1.0,1.0
aden,2.0,2.0,4.0
adenin,1.0,0.0,1.0
adenoid,2.0,6.0,8.0
adentro,0.0,3.0,3.0
adeosun,1.0,0.0,1.0
adept,16.0,36.0,52.0
adequ,139.0,111.0,250.0
adequt,0.0,1.0,1.0
adetokumboh,0.0,1.0,1.0
adher,15.0,27.0,42.0
adhes,1.0,1.0,2.0
adi,2.0,1.0,3.0
adibah,0.0,1.0,1.0
adibisi,1.0,0.0,1.0
adien,0.0,1.0,1.0
aditiya,0.0,1.0,1.0
aditya,7.0,8.0,15.0
adj,1.0,0.0,1.0
adjac,8.0,9.0,17.0
adjani,0.0,7.0,7.0
adject,9.0,10.0,19.0
adjl,1.0,0.0,1.0
adjoin,4.0,4.0,8.0
adjourn,0.0,1.0,1.0
adjunct,1.0,0.0,1.0
adjust,22.0,75.0,97.0
adjustin,1.0,0.0,1.0
adjut,0.0,1.0,1.0
adkin,0.0,4.0,4.0
adl,1.0,0.0,1.0
adlai,0.0,1.0,1.0
adler,0.0,2.0,2.0
adm,0.0,1.0,1.0
adma,1.0,0.0,1.0
admar,0.0,1.0,1.0
admin,1.0,0.0,1.0
administ,11.0,6.0,17.0
administr,3.0,2.0,5.0
adminsitr,0.0,1.0,1.0
admir,249.0,351.0,600.0
admiss,2.0,1.0,3.0
admit,719.0,723.0,1442.0
admitt,0.0,2.0,2.0
admittad,1.0,0.0,1.0
admonish,3.0,8.0,11.0
ado,0.0,1.0,1.0
adolesc,29.0,46.0,75.0
adolf,4.0,7.0,11.0
adolfo,0.0,1.0,1.0
adolph,6.0,8.0,14.0
adon,1.0,1.0,2.0
adoni,3.0,0.0,3.0
adonijah,5.0,0.0,5.0
adoor,0.0,1.0,1.0
adopt,111.0,161.0,272.0
ador,125.0,264.0,389.0
adorbl,0.0,1.0,1.0
adore,0.0,3.0,3.0
adorf,0.0,1.0,1.0
adorn,9.0,13.0,22.0
adotp,0.0,1.0,1.0
adp,0.0,1.0,1.0
adr,4.0,1.0,5.0
adrenalin,9.0,11.0,20.0
adreno,1.0,0.0,1.0
adress,0.0,2.0,2.0
adri,1.0,0.0,1.0
adrian,37.0,56.0,93.0
adriana,1.0,3.0,4.0
adriann,2.0,1.0,3.0
adriano,2.0,0.0,2.0
adriat,1.0,3.0,4.0
adrien,3.0,2.0,5.0
adrienn,10.0,6.0,16.0
adriensen,1.0,0.0,1.0
adrift,6.0,4.0,10.0
adroit,3.0,9.0,12.0
adu,0.0,1.0,1.0
aduh,1.0,0.0,1.0
adul,0.0,1.0,1.0
adult,53.0,95.0,148.0
adulter,21.0,21.0,42.0
adulteress,1.0,3.0,4.0
adulteri,6.0,4.0,10.0
adulthood,6.0,8.0,14.0
adv,6.0,1.0,7.0
